"sid" "(2,4 or 2,5)-dimethylphenol sulfate" "1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*" "1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*" "1-linoleoyl-GPG (18:2)*" "1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*" "1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)" "1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)" "1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*" "2-methylserine" "3-aminoisobutyrate" "3b-hydroxy-5-cholenoic acid" "3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)" "3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)" "3-hydroxy-2-ethylpropionate" "3-methylglutarylcarnitine (2)" "3-methylhistidine" "4-guanidinobutanoate" "4-hydroxycoumarin" "5-(galactosylhydroxy)-L-lysine" "5alpha-pregnan-3beta,20alpha-diol monosulfate (2)" "cholesterol" "EDTA" "eicosenamide (20:1)*" "glycerate" "glycosyl ceramide (d18:2/24:1, d18:1/24:2)*" "lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*" "lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)" "N1-Methyl-2-pyridone-5-carboxamide" "o-cresol sulfate" "oleoyl-oleoyl-glycerol (18:1/18:1) [2]*" "oxalate (ethanedioate)" "palmitoyl sphingomyelin (d18:1/16:0)" "pyridoxate" "quinolinate" "sphingomyelin (d18:2/24:1, d18:1/24:2)*" "sphingomyelin (d18:2/24:2)*" "sphingosine 1-phosphate" "threonate" "X - 13866" "X - 15503" "X - 17010" "X - 17146" "X - 17185" "X - 18914 - retired for 3-bromo-5-chloro-2,6-dihydroxybenzoic acid*" "X - 21467" "X - 21834" "X - 23046 - retired for 2,2'-Methylenebis(6-tert-butyl-p-cresol)" "X - 24812" "X - 25420"
"10154H" 0.00244724447734456 0.382479378230377 0.116690343101239 -0.747484861695366 -0.10410938386858 -0.315251150281958 -0.717503040425904 -0.157341028980585 -0.058716561033061 0.844014907204595 -0.336629949332604 -0.140364585946486 0.0701729122239604 0.449124443922013 -0.379675666909463 0.362586429645011 -0.165738718003718 0.0270745353242252 0.953244217144789 -0.393988087074779 0.710491045664409 -0.418786952580652 1.18740663327913 1.6021238234219 -0.144371974122901 1.51889899544458 1.28708658923203 1.6446933246345 -0.0411794008126479 0.368388394122555 1.49042364906046 0.884031380606364 1.67080228257755 0.712655133336312 -0.375098076520543 -0.531573168343879 -0.222252748603873 1.08465909186236 0.334524021025385 0.771845438009181 1.56509714659786 0.228743158013934 0.120399090611278 -0.12695724813634 -0.248035678670149 -0.392915806959428 0.682136581175903 0.851018436534446 -0.368249806753189
"10186U" -0.684225960528204 -0.287861720613144 -0.169277235208566 -0.526966499355057 0.344392565570381 0.0945722795638955 0.472866198953041 -0.0376500316229679 -0.833087566480301 1.7447861551876 1.01770458922672 1.59406722396425 -0.481555125532463 -0.0718261356455434 0.0751762146595734 0.621939543287948 -0.573735134010598 0.611169333667263 -0.296525813677462 2.62864897456983 0.819954209443678 0.17395599466249 0.730090691867105 -0.0761866925469965 1.76522805870423 0.687791368084108 0.393280705603172 0.0651158970293193 -0.743861732846505 -0.210710123309742 0.533885384481914 0.169144323190946 1.93520995896131 -0.112633485817597 1.2028512947602 0.820492429178855 -0.522555581340545 0.156157243487187 0.228297012330556 0.411839413827253 -1.3084196563902 0.483855012732374 0.6399715024071 0.478304670328045 1.19825506343794 -0.0498477099754455 -0.484270112464737 0.945805431826904 0.369920807232776
"10161E" -0.619571305889705 -0.315528719718796 -0.311928287022294 0.976834646625587 0.24744846937359 -1.35341489768924 -0.10613472780396 -1.30296276311251 -0.40134438647408 -0.142600073155524 0.953950738197085 1.08505202532306 0.603640073989465 0.637385658990099 -0.0902447040656381 0.289811610698652 -0.217479305382759 -0.795600449186243 -0.25632347584227 -2.22097693805521 0.0957359457891561 0.198622376927312 0.485948362088077 0.571348773143023 0.986356933101465 -0.812636697924946 -0.304988708834956 1.14260841749841 0.161919113908013 0.65230066492963 0.681412374991558 -0.707668874908703 1.05385763250678 0.73485441981435 0.36589711898799 0.404171936848882 -0.377072170694095 0.535564479351276 0.108196475694424 1.45562210190526 -0.270694651165354 -0.0818736177585772 0.238923308823151 0.382327427604164 -1.08496675200194 1.51740495137923 1.00042174158342 -0.500004217795776 1.33205754495767
"10071D" -0.238239796046529 -1.11556076577753 -1.32914001869213 0.0921685733402682 0.981299629803662 -1.70973722791687 0.872736265104788 -0.715704411463011 -1.15751146544382 -0.436530670464219 -0.0213442841963021 -0.0186834499568908 0.288511928736562 0.311068251355131 -0.431911996871964 -0.218663662172509 0.46993350948311 0.0394021009649127 0.849196752144145 -1.42126108671923 0.0924754819248749 -0.0450443610192218 0.0330515290918353 0.373128003618688 -0.059899726048376 -0.154843034272466 -0.513558867096968 0.149557305467287 0.39855723131395 1.36342937200805 0.16784898960371 -0.454323633069129 -0.317204806455248 0.0716275183963497 -0.949708971924282 -0.454191937975177 1.68889595251933 0.254053632478872 -0.526381178021892 0.881502128388588 -1.69718820728582 -0.759502363943998 0.943315354010953 -0.0875966010698398 0.945221819897656 -1.12944024579883 -0.687983477973812 0.373926400771498 1.37347124655775
"10170F" -1.27738255310585 -0.776740312054824 2.51370633168129 0.0355738863909399 0.32290301705151 0.837889977502583 0.167816178951339 -0.778685747232008 -0.435550320346736 1.0922438729175 -0.549692245665817 1.5499049178078 0.0163052464591892 -4.49446658363075 -0.731686164099363 0.321318874965636 -0.221174974800208 0.681292602120061 -0.0709149320534385 1.24625672779404 0.301679046868534 -0.32744259116222 -0.333532722513765 1.14311128895065 0.699132226937229 1.02390297369907 0.587509128341774 1.29418171395315 -1.3247314019234 0.292674465430704 1.34491474021909 0.0189447401682849 1.04985301833735 0.664160954393898 1.44239557711922 0.611197196803787 -1.38500874948107 1.12367397657334 0.0129646724141268 0.216223882242407 -0.953073614199175 -0.931638714925947 -0.0155767009382216 0.384598749083708 -1.33510699830219 -0.159745079102429 0.1072255469553 -0.177799042535936 -0.197328840364715
"11455A" -1.22206438404855 -0.246504085902981 -0.651691040939896 -0.0779851603647529 -0.137583490479227 -0.463225176444866 -0.828032223208406 0.560294287017924 -0.992851719314435 1.55938430250953 -0.713107151897108 -1.33850935430809 -0.347472248412182 -0.708616158459652 -1.17698603628156 -1.51189343787366 -1.36508173081596 0.317082248227555 -1.31114875583022 -0.295590229980669 0.439890448438627 0.202988509170027 1.31516306479466 -2.97465177030921 0.242466076010826 0.987308816496902 -0.22654599042453 -1.22837575120954 -0.865533243161969 1.50026902477052 -2.52437254225395 -0.98983197019379 -1.17091507239148 -0.00869150276365954 -0.315655874660818 -0.322096063329887 -0.919922144263163 -3.49783448012234 -0.958704053615176 -1.50616315339103 -0.319240976214722 -0.207999333645682 0.0484690969850884 0.331324634372659 -0.516005022320475 -1.27824879987632 0.326520142039436 -1.26245788162084 -0.296907512742647
"10102O" -0.637827120600779 -0.9009630805818 -0.612681342692505 -0.517903286774369 0.624373165834765 -1.50049793624701 0.691572436590133 -0.91391839617185 0.635306613198803 -0.0997312066137892 0.887053742753315 2.14025690612718 0.215074950474399 0.609654336411283 0.0828390770668849 0.323408768873371 -0.723086671842864 0.258676202569585 0.606593294093357 0.128070321871592 -1.52260111381151 -0.236561883912355 -0.023691517440108 0.814067725927425 -0.67340696624545 -0.0953109912920793 0.78454187524259 0.431451298351599 0.498719509517147 -0.762800855826464 0.124287445837721 -0.64413336482911 0.360210444141736 -0.0408530805126178 -0.279861877858799 0.172943376364865 -0.673958318309201 0.307968457932186 2.38743736055543 0.705372896903386 -1.44605910015158 0.453505904874466 0.28335926594001 0.275301612856442 0.197558955999244 0.658498481540775 0.550629821552951 -0.425411217266067 -1.29406933827095
"10528W" 0.123547183276895 0.249228766206631 -0.417446083006444 0.607066860976272 1.13167497606629 -3.14621062644939 1.03584926556564 -2.53413868407999 0.65537807202254 -0.825791137368636 0.986163336980017 1.43902357272594 0.349838671370245 1.28715451582353 1.0263469328033 0.809153197150267 -1.02696764846981 0.436517834944355 -0.876560671604217 0.418448047736929 -2.03411641773881 -0.763108206135171 -0.527002520677861 0.984102477583593 -1.51205537078954 -0.399059035687989 -0.78698183560786 0.980216897587474 0.668644105732357 0.154486366331235 0.718919253831448 -1.34508664834818 1.20804835326243 1.46768446257458 -0.500323358709693 -0.456865798965806 -1.81794691239716 0.740879630215754 1.51133061496818 0.734542092900707 -1.73945568419939 -0.280388961105118 -0.0423396535966347 -0.639488953271419 0.0187124582542708 -0.868546123831635 -0.827445798215254 0.45010582846044 -0.559484129090127
"10077P" -0.606851117407672 -0.0106580103492088 -0.179997639453158 -1.10672346851467 -1.92802711098361 0.753823215655948 -1.0215013863474 0.752416739006165 0.376490504315193 -0.624355106666614 0.292383231153411 0.0167802194186326 -0.780054240334041 -1.06086013073977 0.123944747998633 -0.543628875831464 -0.19953611608581 -0.244960436992364 0.851369304298132 -1.03722149667098 0.456491348533557 0.0709350409680976 0.677581654869631 -2.11612684042688 0.127639963423441 0.295687643712035 0.201670345434948 -1.43103598143791 -0.955044339739269 0.206550244024136 -1.93548685749018 0.118657459191621 -1.46178034936765 -0.564872044772355 -0.265613606722774 -0.0889843640032598 0.0615765229658989 -1.6834723122312 -0.710790160126847 -1.91833344210755 -1.50201337461262 -1.87432695917888 -0.185681739002553 -0.470318235060307 -0.606389753775032 -1.77947703800567 -0.429351259386073 -2.92756527437254 -0.777977243184001
"10468E" 0.17130854430664 -0.231995543171894 -0.701567674055699 1.05838545622751 1.1522703528441 -0.690793007081264 1.05975306159666 -1.87648466362336 -1.17715904650835 -1.61476901284919 0.102803667728006 0.321395618812933 0.841313397287847 0.885744465428174 0.465058522963101 1.23272939071853 0.0241892257034455 -0.573180429410989 -1.24964514361302 -0.0572852532615054 -0.814536068621071 -0.385434285864059 -0.0790519051782845 0.240894291206588 -0.601513602925069 -1.82671286772102 -1.62060705692633 0.0602556700811733 0.139096124728334 0.696455008704127 0.41299826737935 -2.0347173137485 -0.572393939869874 1.03656851029444 -0.901277839849827 -0.586903426018918 -1.28359696926006 0.406705023149052 -0.128831943400626 0.868701508516716 0.0671722621457433 0.011738260898123 -0.55935993140433 -0.322395121893302 0.264877589436521 -1.74313883750799 -0.574952854084162 0.577615469004098 0.593356842286526
